Title,Author,ISBN,Genre,Description,CoverUrl,RentalPrice,Copies
"Charlotte's Web","E. B. White",0060243872,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8461797-L.jpg,2.99,13
"James and the Giant Peach","Roald Dahl",9788491221,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8252454-L.jpg,7.99,1
"Prince Caspian","C. S. Lewis",0006736424,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/45897-L.jpg,4.99,2
"Northern Lights","Philip Pullman",9783551357,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8747028-L.jpg,4.99,2
"The Silver Chair","C. S. Lewis",4001121042,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6950992-L.jpg,3.99,2
"The BFG","Roald Dahl",9188876519,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/9176033-L.jpg,5.99,1
"A Game of Thrones","George R. R. Martin",9789944824,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/9269962-L.jpg,2.99,3
"Harry Potter and the Deathly Hallows","J.K. Rowling",9783551313,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10110415-L.jpg,4.99,3
"Little Wizard stories of Oz","L. Frank Baum",9780688121,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/430876-L.jpg,2.99,3
"The Well at the World's End","William Morris",9782369143,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/2404583-L.jpg,9.99,5
"Der Kleine Prinz (German)","Antoine de Saint-Exupéry",9781512353,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/3259739-L.jpg,4.99,1
"A strange manuscript found in a copper cylinder","James De Mille",0665037597,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/5647709-L.jpg,2.99,3
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte","Michael Ende",9788805072,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8574580-L.jpg,1.99,6
"The Last Battle","C.S. Lewis",4001121077,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6529226-L.jpg,2.99,3
"The Subtle Knife","Philip Pullman",9788466616,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12614549-L.jpg,3.99,3
"Bridge to Terabithia","Katherine Paterson",9785389094,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12627341-L.jpg,3.99,3
"Catching Fire","Suzanne Collins",9789175032,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12646539-L.jpg,9.99,1
"The Lightning Thief","Rick Riordan",9787544812,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/7239831-L.jpg,2.99,3
"Watership Down","Richard Adams",9789027408,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6450196-L.jpg,4.99,1
"Coraline","Neil Gaiman",9788374801,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14171421-L.jpg,2.99,3
"The Gunslinger","Stephen King",9788960172,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8396638-L.jpg,4.99,1
"Artemis Fowl","Eoin Colfer",9781843238,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10212689-L.jpg,2.99,6
"The Colour of Magic","Terry Pratchett",9788374690,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14647238-L.jpg,3.99,1
"New Moon","Stephenie Meyer",9788324589,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12643406-L.jpg,7.99,2
"Eragon","Christopher Paolini",9783442362,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/13921600-L.jpg,4.99,2
"The Cat in the Hat","Dr. Seuss",9788809208,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/11342-L.jpg,3.99,1
"The Amber Spyglass","Philip Pullman",9787532744,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12613246-L.jpg,3.99,1
"Thumbelina","Hans Christian Andersen",9780887082,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/1357775-L.jpg,2.99,3
"Dragonflight","Anne McCaffrey",9788496940,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10306696-L.jpg,5.99,2
"A Clash of Kings","George R. R. Martin",8804510617,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8231751-L.jpg,2.99,12
"Good Omens","Neil Gaiman",9783807702,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10482258-L.jpg,4.99,2
"Chitty-Chitty-Bang-Bang, the magical car","Ian Fleming",0001711377,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10579734-L.jpg,9.99,2
"Eldest","Christopher Paolini",8374800046,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12848701-L.jpg,5.99,3
"American Gods","Neil Gaiman",9780062059,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8494659-L.jpg,7.99,2
"The Sea of Monsters","Rick Riordan",9782013971,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/108909-L.jpg,3.99,1
"Wizard and Glass","Stephen King",3453138783,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14657088-L.jpg,4.99,3
"A Torre Negra","Stephen King",5237014852,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8443630-L.jpg,5.99,3
"A Feast for Crows","George R. R. Martin",9785170795,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6501256-L.jpg,4.99,3
"Tintenherz","Cornelia Funke",9789955247,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/3330314-L.jpg,3.99,3
"The Eye of the World (The Wheel of Time Book 1)","Robert Jordan",9782266073,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/980232-L.jpg,7.99,3
"The Tombs of Atuan","Ursula K. Le Guin",0553273310,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6633403-L.jpg,4.99,6
"Tarzan the Invincible (Ace Classic SF, F-189)","Edgar Rice Burroughs",0345244842,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/284443-L.jpg,3.99,1
"Doctor Dolittle in the moon","Hugh Lofting",0224604449,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8443596-L.jpg,2.99,2
"The talisman","Stephen King",2221048199,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14651566-L.jpg,3.99,1
"Night Shift","Stephen King",5237008631,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14651337-L.jpg,1.99,1
"The Eyes of the Dragon","Stephen King",9788378859,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8524085-L.jpg,1.99,3
"Life, the Universe and Everything","Douglas Adams",9781509844,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8569244-L.jpg,3.99,1
"The Name of the Wind","Patrick Rothfuss",9781407234,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/11480483-L.jpg,2.99,1
"The Phantom Tollbooth","Norton Juster",9785389005,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8578174-L.jpg,4.99,1
"The Farthest Shore","Ursula K. Le Guin",0689847823,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6498990-L.jpg,4.99,1
"The Battle of the Labyrinth","Rick Riordan",9788983781,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6274739-L.jpg,1.99,2
"The Titan's Curse","Rick Riordan",9780606265,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14601475-L.jpg,9.99,1
"Stardust","Neil Gaiman",9756902507,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8216379-L.jpg,3.99,3
"Something Wicked This Way Comes","Ray Bradbury",9780812402,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/9346340-L.jpg,2.99,1
"The Light Fantastic","Terry Pratchett",9788373379,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6531015-L.jpg,4.99,11
"Mort","Terry Pratchett",9780062225,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14648805-L.jpg,3.99,1
"The Black Cauldron","Lloyd Alexander",2253037885,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/580387-L.jpg,3.99,1
"Everything's Eventual. 14 Dark Tales","Stephen King",9789024539,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8585782-L.jpg,3.99,6
"Yu-Gi-Oh!","Kazuki Takahashi",1591166144,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/863639-L.jpg,1.99,1
"Dinosaurs Before Dark","Mary Pope Osborne",9787535349,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14390457-L.jpg,4.99,1
"Black house","Stephen King",8401329280,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14652973-L.jpg,9.99,3
"The dark is rising","Susan Cooper",9787535837,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/9363540-L.jpg,9.99,2
"The Last Olympian","Rick Riordan",9783551555,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6624107-L.jpg,7.99,1
"Mary Poppins","Pamela L. Travers",0007635729,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/7421-L.jpg,1.99,2
"A Storm of Swords","George R. R. Martin",9780307951,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/15124196-L.jpg,2.99,2
"Dragonquest","Anne McCaffrey",9789022512,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12077053-L.jpg,3.99,3
"Die unendliche Geschichte","Michael Ende",9788949170,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/7383413-L.jpg,4.99,4
"Tom's Midnight Garden","Philippa Pearce",9575706153,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/3077039-L.jpg,3.99,2
"Doctor Dolittle's garden","Hugh Lofting",9781612035,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/9244265-L.jpg,2.99,1
"The Regulators","Stephen King",0786208449,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14651906-L.jpg,2.99,1
"Trollkarlens hatt","Tove Jansson",9120075502,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/3180402-L.jpg,4.99,3
"Wicked","Gregory Maguire",9788408072,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/38706-L.jpg,2.99,7
"La Petite Sirene (French Well Loved Tales)","Hans Christian Andersen",0721406270,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10563313-L.jpg,1.99,2
"The Lost Hero","Rick Riordan",8936046240,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12848687-L.jpg,4.99,2
"Mostly Harmless","Douglas Adams",9788599296,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/11465755-L.jpg,3.99,7
"Wintersmith","Terry Pratchett",9783442546,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14645769-L.jpg,9.99,1
"Brisingr","Christopher Paolini",9788986836,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/2411585-L.jpg,5.99,2
"Equal Rites","Terry Pratchett",8484507831,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6925774-L.jpg,2.99,3
"Small Gods","Terry Pratchett",9783442421,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14648232-L.jpg,7.99,1
"Corduroy","Don Freeman",9780545399,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/1333207-L.jpg,3.99,7
"Flat Stanley","Jeff Brown",8877829508,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/5140225-L.jpg,9.99,6
"Tale of Despereaux","Kate DiCamillo",2012009050,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/541143-L.jpg,1.99,3
"Wizard's First Rule","Terry Goodkind",2914370334,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/1005963-L.jpg,3.99,2
"Jonathan Strange and Mr. Norrell","Susanna Clarke",9781408856,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/525391-L.jpg,4.99,1
"Artemis Fowl and the Arctic Incident","Eoin Colfer",9050006167,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8231795-L.jpg,4.99,3
"Wolves of the Calla","Stephen King",9787020062,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14652470-L.jpg,9.99,18
"Lords and Ladies","Terry Pratchett",8401329493,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14646144-L.jpg,2.99,3
"The Wee Free Men","Terry Pratchett",9022540693,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14645723-L.jpg,2.99,3
"Over Sea, Under Stone (The Dark Is Rising #1)","Susan Cooper",9780613300,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/436197-L.jpg,7.99,2
"Into the Wild","Erin Hunter",9787541739,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12720669-L.jpg,2.99,3
"A Dance With Dragons","George R. R. Martin",9788804622,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/11298743-L.jpg,2.99,3
"Sourcery","Terry Pratchett",3453043006,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6927508-L.jpg,4.99,1
"The Ocean at the End of the Lane","Neil Gaiman",9788499186,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/7258156-L.jpg,5.99,5
"Oryx and Crake","Margaret Atwood",9789731021,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12507658-L.jpg,3.99,1
"The Human Chord","Algernon Blackwood",0854682368,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/1846228-L.jpg,5.99,2
"Mahō sensei Negima","Ken Akamatsu",0345494636,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/212396-L.jpg,4.99,2
"Wyrd Sisters","Terry Pratchett",3453054083,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14648051-L.jpg,2.99,3
"A Hat Full of Sky","Terry Pratchett",9022543129,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/7092840-L.jpg,5.99,3
"The magic Faraway Tree","Enid Blyton",9781405228,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14605635-L.jpg,2.99,2
"The Passage","Justin Cronin",9789023425,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8261369-L.jpg,2.99,2
"The Amazing Maurice and His Educated Rodents","Terry Pratchett",8576160072,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14645777-L.jpg,7.99,3
"My father's dragon","Ruth Stiles Gannett",0440841496,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/255052-L.jpg,5.99,18
"Neverwhere","Neil Gaiman",9783453137,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/1008998-L.jpg,2.99,16
"The Great Hunt (The Wheel of Time Book 2)","Robert Jordan",9782744193,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/182352-L.jpg,3.99,3
"The Opal Deception","Eoin Colfer",9050006698,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12636364-L.jpg,2.99,2
"Dragonfly in Amber","Diana Gabaldon",2891117514,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6920490-L.jpg,5.99,3
"The Tales of Beedle the Bard","J.K. Rowling",9788959760,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/13776199-L.jpg,2.99,3
"Interesting Times","Terry Pratchett",9788380690,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14646167-L.jpg,2.99,5
"Swimmy","Leo Lionni",0153159987,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/5017594-L.jpg,9.99,3
"Mistress Masham's Repose","T. H. White",9781681370,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8433695-L.jpg,3.99,5
"Pyramids","Terry Pratchett",9789022551,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14646151-L.jpg,4.99,2
"Kometen kommer (Kometjakten)","Tove Jansson",9785911815,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6681831-L.jpg,3.99,7
"The Final Empire","Brandon Sanderson",9788374805,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14658160-L.jpg,5.99,4
"Reaper Man","Terry Pratchett",3442415519,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14648856-L.jpg,2.99,1
"Anansi Boys","Neil Gaiman",9789024530,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12049134-L.jpg,9.99,3
"Danny and the Dinosaur","Syd Hoff",0060224657,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/36107-L.jpg,2.99,1
"The House on the Borderland","William Hope Hodgson",0881840181,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/542561-L.jpg,3.99,3
"The Trumpet of the Swan","E. B. White",7532733742,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/50627-L.jpg,4.99,3
"White oleander","Fitch, Janet",2226115528,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6575487-L.jpg,4.99,2
"Men at Arms","Terry Pratchett",9789868900,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14648019-L.jpg,5.99,2
"How the Grinch Stole Christmas!","Dr. Seuss",0394800796,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12055-L.jpg,2.99,4
"Mattimeo (Redwall #3)","Brian Jacques",2740407971,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/3236209-L.jpg,5.99,1
"Sabriel","Garth Nix",2290329363,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/13165306-L.jpg,5.99,3
"Gregor the Overlander","Suzanne Collins",9781904442,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8345963-L.jpg,7.99,2
"The Throne of Fire","Rick Riordan",9782226242,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6934834-L.jpg,5.99,2
"A Wind in the Door (Time Quintet #2","Madeleine L'Engle",9783423701,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8276481-L.jpg,9.99,1
"The Wolves of Willoughby Chase (Wolves #1)","Joan Aiken",9780857550,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/239726-L.jpg,3.99,1
"The worm Ouroboros","Eric Rücker Eddison",3404203194,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/314643-L.jpg,2.99,4
"The Mark of Athena","Rick Riordan",9783551314,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12848680-L.jpg,5.99,2
"The Graveyard Book","Neil Gaiman",9786053750,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/7099583-L.jpg,1.99,2
"三体","刘慈欣",9789861206,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/9157544-L.jpg,2.99,1
"Hogfather","Terry Pratchett",9027472343,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14649230-L.jpg,2.99,13
"Thud!","Terry Pratchett",9789869014,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14645706-L.jpg,7.99,3
"The Grey King (The Dark is Rising #4)","Susan Cooper",9787535840,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/433450-L.jpg,3.99,13
"El reino del dragón de oro","Isabel Allende",2246654513,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/31544-L.jpg,9.99,4
"Witches Abroad","Terry Pratchett",8374692162,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14645790-L.jpg,4.99,17
"Frostgrave","Joseph A. McCullough",9781472815,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/9172728-L.jpg,7.99,3
"Monstrous Regiment","Terry Pratchett",9780062307,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14646616-L.jpg,3.99,3
"Carpe Jugulum","Terry Pratchett",0061020397,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14646440-L.jpg,3.99,2
"Haroun and the Sea of Stories","Salman Rushdie",9783499239,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10236612-L.jpg,3.99,1
"Queen Zixi of Ix; or, Story of the Magic Cloak, The","L. Frank Baum",0962784192,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/2821200-L.jpg,5.99,1
"The dark tower","Stephen King",0340827211,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14656148-L.jpg,7.99,3
"The Sword of Shannara","Terry Brooks",0345290240,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/908811-L.jpg,2.99,14
"Dragonsong","Anne McCaffrey",2226032266,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8769648-L.jpg,4.99,2
"City of Bones","Cassandra Clare",9782266244,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10121449-L.jpg,2.99,1
"Winnie-the-Pooh / The House at Pooh Corner","A. A. Milne",1851520902,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8612607-L.jpg,1.99,18
"Cloud Atlas","David Mitchell",9785699595,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6714077-L.jpg,5.99,3
"The Spook's Apprentice","Joseph Delaney",0370328264,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8576656-L.jpg,2.99,1
"Nomads of Gor","John Norman",0345251822,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/1417734-L.jpg,2.99,3
"The Wishing Spell","Chris Colfer",9781471314,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/7254710-L.jpg,2.99,2
"Dead Until Dark (Sookie Stackhouse, #1)","Charlaine Harris",9780575117,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6399102-L.jpg,3.99,1
"Moving Pictures","Terry Pratchett",3442415438,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14647546-L.jpg,3.99,1
"Soul Music","Terry Pratchett",9027456143,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14645780-L.jpg,7.99,4
"Stone of Tears","Terry Goodkind",9782352944,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/182448-L.jpg,7.99,2
"Princess and the Pea","Hans Christian Andersen",0721450075,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/11698786-L.jpg,4.99,19
"Policeman Bluejay (1907)","L. Frank Baum",0820113670,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8707622-L.jpg,4.99,4
"Artemis Fowl. The Lost Colony","Eoin Colfer",9788501079,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12636224-L.jpg,3.99,7
"Howl's Moving Castle","Diana Wynne Jones",9782266138,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8783945-L.jpg,4.99,3
"Inheritance","Christopher Paolini",9780307976,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6973055-L.jpg,4.99,2
"Animal Farm / Nineteen Eighty-Four","George Orwell",9781849310,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10524365-L.jpg,3.99,6
"The City of Ember (The First Book of Ember)","Jeanne DuPrau",9789753902,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14421081-L.jpg,5.99,2
